Title,Released Date,Genres,IMDb Rating,Top 3 Actors,Box Office,Awards,Metascore,Language,Production
Purple Rain,1984-07-27,"['drama', 'music', 'romance']",6.5,"Apollonia Kotero, Morris Day, Prince",70261052,14,0.55,english,Independent
Vietnam My Motherland,1984-07-27,['unknown'],Unknown,Lom Tom,0,0,None,Unknown,Independent
Mickey 17,2025-03-07,"['adventure', 'comedy', 'fantasy']",7.3,"Michael Monroe, Robert Pattinson, Steven Yeun",0,0,0.75,english,Independent
In The Lost Lands,2025-03-07,"['action', 'adventure', 'fantasy']",5.4,"Arly Jover, Dave Bautista, Milla Jovovich",0,0,0.37,english,Independent
Rule Breakers,2025-03-07,['drama'],Unknown,"Ali Fazal, Fahim Fazli, Phoebe Waller-Bridge",0,1,None,english,Independent
Queen Of The Ring,2024-10-15,"['biography', 'drama', 'sport']",8.8,"Emily Bett Rickards, Josh Lucas, Tyler Posey",0,3,None,english,Independent
Night Of The Zoopocalypse,2025-03-07,"['animation', 'adventure', 'comedy']",6.3,"Bryn McAuley, David Harbour, Paul Sun-Hyung Lee",0,1,None,english,Independent
The Rule Of Jenny Pen,2024-09-19,['thriller'],Unknown,"Geoffrey Rush, John Lithgow, Nathaniel Lees",0,0,None,Unknown,Independent
Seven Veils,2025-03-20,['drama'],6.7,"Amanda Seyfried, Douglas Smith, Mark O'Brien",0,4,None,english,Independent
Bloat,2025-03-07,['horror'],Unknown,"Ben McKenzie, Bojana Novakovic, Sawyer Jones",0,0,None,"english, japanese",Independent
On Becoming A Guinea Fowl,2024-10-03,"['comedy', 'drama']",6.7,"Blessings Bhamjee, Roy Chisha, Susan Chardy",0,4,None,"english, bemba",Independent
Eephus,2025-01-01,"['comedy', 'drama']",Unknown,"Bill Lee, Frederick Wiseman, Keith William Richards",0,10,0.8,english,Independent
There'S Still Tomorrow,2023-10-26,"['comedy', 'drama']",7.7,"Paola Cortellesi, Romana Maggiora Vergano, Valerio Mastandrea",0,42,None,"italian, english",Independent
The Lost Daughter,2021-12-31,['drama'],6.7,"Dakota Johnson, Jessie Buckley, Olivia Colman",0,158,0.86,"english, italian, greek",Independent
Guns Of Redemption,2025-03-07,['western'],Unknown,"Casper Van Dien, Kaitlyn Kemp, Siena Bjornerud",0,0,None,english,Independent
F Marry Kill,2025-03-07,"['short', 'comedy']",Unknown,Unknown,0,0,None,english,Independent
The Wild,2006-04-14,"['animation', 'adventure', 'comedy']",5.2,"Eddie Izzard, Jim Belushi, Kiefer Sutherland",37384046,2,0.47,english,Independent
The Visitor,2008-05-23,['drama'],7.6,"Danai Gurira, Haaz Sleiman, Richard Jenkins",9427089,55,0.79,"english, french, arabic, romanian",Independent
We'Re All Gonna Die Even Jay Baruchel,2022-04-30,['documentary'],7.3,"Hakeem Oluseyi, Jay Baruchel, Nick Bostrom",0,4,None,english,Independent
The Way My Way,2024-05-16,['drama'],6.7,"Chris Haywood, Jennifer Cluff, Laura Lakshmi",0,0,None,english,Independent
The Empire,2021-08-27,"['action', 'drama', 'history']",4.7,"Kunal Kapoor, Shabana Azmi, Vikky Kumar",0,19,None,hindi,Independent
Play It As It Lays,1973-06-07,['drama'],6.4,"Anthony Perkins, Tammy Grimes, Tuesday Weld",0,2,None,english,Independent
The Fetus,2013-06-30,['short'],Unknown,"Chris Degner, Jessica Garza, Joseph Michael Daniel",0,0,None,english,Independent
The Corpse,2013-06-30,"['horror', 'short', 'thriller']",8.0,"April Knapp, Melissa H. Green, Timothy C. Arthur",0,0,None,Unknown,Independent
A Match,2023-09-08,['drama'],Unknown,"Nandini Chikte, Sangita Sonekar, Taranath Khiratkar",0,20,None,marathi,Independent
You Burn Me,2024-10-03,['drama'],Unknown,"Agustina Muñoz, Ana Cristina Barragán, Maria Inês Gonçalves",0,5,None,english,Independent
